"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"Mexico",0.688805963149151,9.51252804353676,6.49552559921085,6.43514755257544,13.5441351199412,6.72114975876784,22.9215025323095,0.879762763907489,1.52592518191943,0.755661718493253,2.58514321242381,3.83815486208811,13.0894682529552,3.80247783161894,12.967797340796,NA,6.27239449306078,6.81552736964994,0.0836876796332939,0.0111087134900299,32.0696295515683
"Ecuador",0.664193909593527,6.97102848615966,9.18180932615644,18.2711221755941,12.1408632355012,6.02525237572084,21.0975144793787,1.11475091283315,0.67153915494621,0.333016757484877,1.68883920548747,5.28380209869147,18.5013148548783,11.184793812381,36.8031621803926,NA,18.2415554607226,19.814116960662,0.0777096036833236,0.00462193998649795,96.1549015752878
"Bolivia",0.665330378412634,6.18948967612734,10.6099522385797,10.534528529293,11.854760170402,5.88281331764311,19.9938839981032,1.25778439207783,0.138183789767259,0.0683742578852219,0.166103974426341,6.2908457016013,21.3806613292591,6.24619517392776,21.2286711272157,NA,10.5676014840104,10.4800262818382,0.077850435095598,0.00184138036821006,39.9316487098146
"Iran",0.767970858898215,4.98262720157057,11.5521118948526,10.8878992504151,10.1891820015123,5.05628580526173,17.1971013056414,1.17706570598488,2.08292105944131,1.03173360189793,3.48141974332649,6.84455877223189,23.2792557881121,6.45108127820218,21.9407666712912,NA,10.8538386137859,10.952156202731,0.0586487960467614,0.0150372869357371,44.8244046868047
"Italy",0.67700466723871,3.47714018314505,15.9762792532404,30.9032503435487,16.7558336381662,8.3149249633005,25.0095337124743,2.67695877324183,4.43260635959248,2.18839879739415,4.43260635959248,10.7037532327387,32.1946233436513,22.8734450485813,62.2747317529105,NA,31.4066527683675,30.0931073643079,0.0930816091906186,0.0279916998309433,77.507667043896
"Peru",0.642810210630754,3.73244223514822,16.9521180242797,39.5887296368334,17.484448420763,8.67649320128087,29.3523854080171,2.96398433218205,0.944314861609497,0.449156338181863,1.36213000043368,10.0979334080715,34.1610863216546,15.2287939607593,79.7772885105947,NA,40.6298858677558,37.3571652336022,0.110629003057539,0.00458314003658269,68.2250395949791
"United Kingdom",0.69162153153497,3.59390804863531,17.8165483107265,53.7043436473513,13.6564852601546,6.82097780719377,22.6751396873755,2.43311429392268,1.40588952120169,0.725365147593337,1.94680517277304,10.7303166704518,35.6710483848311,19.4885333855102,98.9999999999997,NA,54.8242000627406,51.6181390673542,0.0874438904417835,0.0174751545461294,58.1462906952023
"Bulgaria",0.820075491548778,2.81498907746597,17.9942150821716,18.2635640635719,11.8111382459249,5.86116634760183,19.9964752286273,2.12532161962436,5.62871035011708,2.7866047245811,9.54296130695705,10.6284812464434,36.2610697868003,10.7875696082778,36.8038487947738,NA,18.3654848909834,18.0995179685271,0.0598275714534486,0.0396564800274053,31.4601379927516
"Indonesia",0.688743076467404,3.14003400891585,19.1598460659508,23.1052050834523,1.04910293420817,0.520607471110825,1.77465623475033,0.20100650726766,0.164573687182786,0.0815077140269064,0.277981064119953,11.3265038789858,38.6099928298705,13.6588711744012,46.5604890318048,NA,23.045822074515,23.2155465972268,0.00631167268833842,0.00108452428665027,23.0635984881969
"Canada",0.690935572856878,3.15952378491779,20.1136934395079,60.2617120613067,5.14372487364601,2.61592103340376,8.70043529558137,1.03459305245687,0.505610833451216,0.303386663980911,0.852308475470929,11.8912791982063,39.5498579370605,35.6268234768468,98.9999999999997,NA,61.384792877059,58.3751054601135,0.0326882135694818,0.00506534996436079,58.5381427376
"South Africa",0.639972761924941,2.73179696049093,20.8456794965368,10.1878307211709,6.4905998600239,3.22089917865848,10.9912726276703,1.35300964422325,1.10089743310212,0.545796545903522,1.87094338832862,12.3098542821791,42.007202621809,6.01614360366909,20.5300225138738,NA,9.76339594153526,10.9043028645022,0.0369614763360398,0.0035947102054779,31.5180819414925
"Belgium",0.629789577361139,2.89807531611914,21.1415514597449,88.7945675906534,23.74216142487,12.6097811780562,38.3504595863819,5.01946127529459,3.24963677387886,2.13853965124796,3.78874333111612,13.0883992771679,39.8060934160347,6.7405492461554,99,NA,94.6685335902682,75.8958246325962,0.145467768221472,0.0403836411242736,100.487469665095
"Spain",0.654593082063977,2.74751214046475,21.4165532616006,32.0470345088088,16.5488711368136,8.26634150753967,25.1352511334114,3.54419780120933,2.56297157357366,1.05401722630282,2.56297157357366,14.1005068236544,42.8750469355361,18.9134096142444,63.7840037019862,NA,28.614149250523,33.4866054710842,0.0973772648703114,0.0192910157999325,405.806757148861
