"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"NJ",0.566520015822044,2.63002342114228,20.6141051180398,38.8792831513954,51.4647319993713,26.0589650512317,90.0394344816682,10.6089939530679,9.73077305300196,4.77950042533675,19.4356666512028,11.7826083805845,40.7114938456331,21.9879651630468,78.3476463505345,NA,37.6656797067553,39.628174621405,0.279019025713253,0.0109094716505727,78.5409458907998
"MA",0.649060788192407,2.65955654658895,23.6019974044663,41.3963822631586,40.1388426504859,19.9545517740074,71.6742764912221,9.47356860055048,2.47311439158706,0.987923883558634,7.93408998133929,13.2175294461615,47.4757273821138,23.1027667287972,83.763842717197,NA,41.2454351182771,41.6246024929745,0.251954913911536,0.0118244417158759,19.3919857231786
"CT",0.621613511458717,2.48296479756332,24.4765421955657,76.3721880734429,36.6442113640285,21.2799865725327,65.7735817280584,8.9692358567487,3.15586443280864,3.15586443280864,9.10883291325274,13.6365325121446,42.1486913357634,25.5248766691833,76.7061233579912,NA,78.1857869233997,63.9181611648521,0.222702968933497,0.00502063368250578,163.906375855954
"NY",0.67108294564696,2.63201032988297,24.6321862321507,53.8685550630677,40.3562735740893,20.4512695155106,67.9235977502834,9.9406324631259,1.31619267383181,0.600264227766685,1.85988829207657,14.6350205118286,48.6064322588227,32.7740056763816,99,NA,51.2242663025953,55.6430839147742,0.261638473285174,0.0113501070575202,29.0500975111975
"DC",0.634603487797571,2.36713701701174,26.0234441120134,42.6507622741091,24.7729234998788,13.5301686072343,43.7214060171778,6.4467679019028,1.97580234980211,1.97580234980211,5.21170113019146,14.7451065488834,47.6473582040646,24.457487262044,68.7626374283458,NA,42.2848089804167,42.9288690832309,0.152603829406772,0.00552604396180512,142.687836817923
"PA",0.668839740809019,2.38440191189243,27.2522524588419,61.7334053236328,30.4275613842501,15.0604722966612,51.1058711156259,8.29219584550494,0.826314549587482,0.506386500627375,1.01252259741535,16.2255249044558,55.0593346753358,31.8675242033685,97.751359701304,NA,60.6753970698898,61.5079171403366,0.197719276278085,0.00654585783505985,25.1956962806683
"LA",0.643975354012239,2.2762572974131,27.9242409405154,35.5338137336668,34.5189154496687,17.129687366001,61.4598134240489,9.63914512021828,1.5449610838437,0.575216897738388,5.65856651323672,15.6836550311533,56.2715764407355,19.7670301124262,71.6060185844757,NA,35.2502208112255,36.1147294991995,0.219411744207207,0.00800207537696874,22.5816015248387
"MS",0.669744532772921,2.30796054110953,28.6044517348917,28.0834109387245,36.0445198545227,17.8867542135225,62.7454782881717,10.3103372848604,0.338318252897197,0.10846300262466,2.32077836339965,16.4320004662456,57.6423042536454,16.1179456767294,56.5923281037819,NA,27.8748248988895,28.5778210029928,0.237958516189882,0.00732490207983538,39.6938736603115
"MI",0.674221601319562,2.17031432867638,29.0246015251858,54.9350239549143,27.7381630181267,14.396999621199,50.6393789698602,8.05089128641774,1.8200148999511,1.8200148999511,6.77946817481657,15.8984795038847,55.9206188667471,24.7830815720212,85.7255992336339,NA,59.1478386889817,50.497807395146,0.174729647175282,0.00728958069590863,84.7935587907192
"AL",0.659699328089402,2.06114505054874,30.9197213871187,11.9021113347189,34.1621721036353,17.2438121748643,57.6036357921066,10.562848434232,1.57965041584841,0.785234357437717,2.51574418501366,18.3371210670689,61.2558773380119,7.4269693961051,23.992410266886,NA,10.9858197858268,12.62522186503,0.217715627699138,0.00817835753698871,94.6150005447966
"NM",0.653098073365222,2.05643554621805,31.2165218251881,32.6383725451894,29.5233227459678,14.6438132314808,53.1167061383914,9.21615448851575,1.1252082391148,0.399209716191297,5.05924996739815,17.350764304744,62.9354823284906,18.1017724186364,65.7538417141218,NA,32.5668415570136,32.7851638882962,0.189524276896209,0.00615214688465297,18.6834615674786
