"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"Hidalgo",0.634453087941208,3.40104100545893,17.939813122865,43.1635628439974,50.705565544125,25.1719977298312,86.6535345397322,9.09648370150784,5.11468084182482,2.27145918250911,9.51056842964486,10.4975333664398,36.1373133715472,23.462992630583,86.9811190644284,NA,43.7506429695103,41.371651289868,0.30937514074317,0.0219414993434872,89.5524800803875
"Nueces",0.621171722679544,1.89234650967199,31.9168102231177,34.0437980320993,32.9068244726038,16.4928079911836,52.8595974134672,10.5028087173754,3.50572414441975,1.45474523975596,3.50572414441975,19.8692559748848,63.68114345956,11.6280024851851,68.6034111858998,NA,34.0435629170777,34.0447133137999,0.198749534180779,0.015734338122645,77.8891275404511
"El Paso",0.669437764243291,1.90708459939229,33.1619349871345,26.4106784869257,44.8546582780035,22.2790367282924,72.9133522207193,14.8746726168529,3.19725016032977,0.704966703828386,3.19725016032977,20.4004783264183,66.7653310071676,12.8874457791073,53.2215187691098,NA,25.783359150258,27.8012074505414,0.283672590686024,0.0255721622631007,91.1143570891831
"Webb",0.60114407452751,1.69796758425521,34.517632609567,23.014267187422,44.8950833917111,22.2868481870935,79.7170924605897,15.4967199449096,6.87482739820286,0.863822317537545,16.1373908989376,19.439645208549,69.5330260017828,1.96750896822472,46.3772353928437,NA,21.0619640345269,29.9474117119915,0.263129281287376,0.0521909318255953,89.6578903299841
"Lubbock",0.659794869657468,1.5967484395413,37.8216818216705,3.9974863713928,41.475589894348,22.2364051345674,71.112882383188,15.6867656435012,3.45760052767992,2.20203481413377,7.36944187078585,22.058964730151,70.545421117173,2.84001199057489,8.06779686492344,NA,3.10614906662948,7.29576970618675,0.250478185627106,0.0178912989733647,213.141641406895
"Bexar",0.61175351983612,1.52085102940582,39.0135636325596,67.5955065505878,25.5261651389136,13.112123511034,40.1576901102367,9.95866667942231,3.98432383441788,1.12392929298561,4.09311802465001,24.7989031542522,75.9500676686122,40.0461407756702,98.999999999999,NA,69.2319925600186,63.7784246479149,0.151456484709088,0.0268875541338607,98.0003063591793
"Fort Bend",0.45058022764758,0.971496036431101,44.0970361297974,51.9529653080248,17.0656997563091,9.73602661451702,24.9554946008631,7.52546778734239,5.63710481063366,2.16986245810679,7.08059947905288,30.1555545490255,77.2950617875412,24.2048856061783,56.9614272490504,NA,51.5756767422145,52.7525625989432,0.0731096212769306,0.00964640836292834,147.145262224446
"Harris",0.683270043704085,1.47304772931944,45.0591105323494,87.128515089337,16.8886001806623,9.50358509357586,27.2062816496168,7.60985302277116,0.682010809489848,0.427903876130921,0.682010809489848,27.9709411259379,80.0734980309188,33.7629975847938,98.9999999999935,NA,88.2144087859254,83.697248705954,0.112096767156477,0.0175796335050788,62.1673655576885
"Dallas",0.684130799577479,1.24137104337219,52.5186354847614,35.424009461701,20.4745198832416,11.8825294841306,34.2073884907047,10.7529384647346,0.865214849457095,0.428320770589729,1.70468720165645,31.4345494911328,90.4936821667089,14.2976760140508,56.1672077251716,NA,33.7438328922805,40.7455968215444,0.133483864412845,0.02069928712565,39.9942609591045
"Travis",0.68365034078539,1.1458919251246,54.494957448939,21.5467323512344,11.2339131646553,7.05334735627883,20.3130723630129,6.12191619892964,0.822245962679743,0.638687060885482,3.12946608164986,30.1378151444818,86.7944805451835,9.18114542425184,35.8136689488347,NA,17.6760707539737,34.3883408382533,0.0701505433864294,0.00904909977473347,61.1255935557641
"Tarrant",0.701474221159971,1.21284214657118,54.9430517614599,40.3559816099811,21.3554536226775,12.9509396577386,35.1691407142478,11.7333379378023,0.580058896346258,0.375447671333918,0.701462869451003,33.362594875822,90.5983523040444,16.3607063545208,81.3234174867755,NA,37.9876168024413,47.110059107152,0.142306867709291,0.027818666421095,39.6476648154106
"Williamson",0.60133662221831,0.986698911729141,59.6984781883216,95.2691223135106,12.2220619391665,8.14594193756004,21.008797029151,7.29638498091647,1.11721737435325,0.653090881990293,3.11097095443303,34.73014171536,89.5707953339765,12.0107254925822,98.999999999992,NA,95.2691223135106,90.2239876196703,0.0719933512022713,0.0112930746983955,131.450983544911
"Montgomery",0.724108148617072,1.01828129749446,61.164734213748,25.436969584231,12.7429981099621,8.4356011499705,23.4498397868151,7.79422092482125,0.83406818554799,0.823695342829669,4.16664793248468,33.2378429689897,92.396745486817,18.1852627936574,74.2549763363435,NA,27.0447631748757,36.7872592854582,0.0793670939628549,0.0115073824935483,67.968044671465
"Denton",0.749855877710056,0.999371652553783,62.8307167629552,31.5504453516573,12.3837421905916,7.96885253998574,21.1837616620863,7.78079398042521,1.06172315471192,0.896868558763795,2.60452657057736,36.7299920785594,97.6400798155456,21.6750303666268,96.6734704150092,NA,47.8928922272152,42.0498213028632,0.0777590493839807,0.0145507203188587,84.7955134913896
"Collin",0.663817395925731,0.887616320687187,71.8140621179441,97.206297813766,11.6120531439982,8.63910306618483,18.6134836187268,8.33908705799954,0.33683407931372,0.33683407931372,0.429003262333111,44.8013237544082,96.5272319836116,20.3892213422279,99,NA,98.0576529205493,94.5791376731991,0.0740190977231169,0.0125354923563343,126.475778240719
