"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"NY",0.635106217485316,2.53511745465358,24.8784457992682,47.3479406844937,43.4294698427056,21.7878214044101,75.5685773164481,10.804577115727,2.09635199157126,0.204248334324737,5.62358644715957,14.2977114290272,49.5899838500606,26.2931810413185,95.4132744096897,NA,48.1446490525241,46.2060958073748,0.273908720362303,0.0047651944032252,40.2768050606188
"NJ",0.664825560225369,2.57908644028599,25.373609451895,12.2761077972531,45.0867676017556,23.6494550185455,78.1280541395339,11.440140325753,0.641737179989753,0.573518521990515,2.93548854338549,14.642807185907,48.3738010739859,14.3525268888737,19.8621353252234,NA,12.4419849015852,14.7826700375837,0.295051107891184,0.00683390019803675,66.2281627476936
"MA",0.655314901478056,2.52806088168104,25.8242230417431,89.6710400927611,39.7174538301334,20.3155559314222,70.3966666699092,10.256723863595,0.387996631260696,0.0188736341628253,4.17706057040756,14.569899895529,50.4870449926052,49.0799772126391,96.2403796584505,NA,92.1056618095539,84.8261904566838,0.259296223737588,0.00364163787814093,22.853256635077
"CT",0.645515273161858,2.37173267768562,27.0205774765114,41.0984675416093,36.0551185828355,18.8487095587739,61.1333234262849,9.74230125092314,1.072724488959,0.374885430700987,2.1183343776968,15.9361551195078,51.6868341598918,14.895233037878,41.0984675416093,NA,38.2855050547943,45.9297839564033,0.231061342326719,0.00395480083370567,85.8036615927879
"LA",0.640927684818797,2.24693797337922,28.1972386227554,39.548173696343,35.9073600703673,17.8186899597311,66.7142557809628,10.1248840021735,1.64655927024465,0.620964501990994,8.73520918177084,15.1764924657417,56.8217081337344,20.6191684627306,79.6955621456596,NA,39.3105701754189,39.9633948805266,0.227499863405434,0.00417312533099982,30.503883998286
"PA",0.649886449840478,2.25997151352277,28.2125859507856,30.4173182788342,33.3182147159615,16.7024722138191,58.266016807003,9.39992996400794,1.47440066934288,0.429152544625856,4.37763720777489,16.1327828451767,56.278674460124,17.2443684449347,61.2955050164441,NA,25.366811415109,39.2237656028007,0.21243573947767,0.00749102346518186,20.9886558404616
"DC",0.662756796479386,2.31502310932962,28.2658174625327,25.4498999859842,24.5120297327621,12.6345539165243,41.3055747568626,6.92852558062427,0.288192479363303,0.185271497642945,0.441974447198505,16.7738268294479,54.8379121764062,20.5909491685229,41.3379153373444,NA,14.5062860589328,36.4233542556509,0.160396968327266,0.00368402930787008,63.4872199991924
"MS",0.665653187236811,2.30303679502973,28.6229722434361,34.6371318874098,37.2603646367222,18.5145397515163,69.8897903307318,10.6650238277721,0.234113366157041,0.0806564509035754,7.23067834411651,15.2597736769607,57.6035049799099,18.2394431099131,66.0007269298589,NA,34.7645435617728,34.5259560291974,0.245619422952278,0.00372965197642994,35.1738254944778
"NM",0.662834296543894,2.10185335838005,30.6466329255312,15.2071398017654,31.5621906367184,15.6624404663414,59.5108022795206,9.67274870769147,1.74902990687347,0.68575395982959,9.06208625678765,16.2537696303586,61.7576087741769,7.98370839070859,30.6446908126522,NA,13.34790225726,18.4196475524015,0.203306993560276,0.00934744797978281,30.3687206989847
"AL",0.65643653273569,2.05114049373856,30.6569590733121,20.0049255468041,36.150663806693,18.5279221816352,60.336115819757,11.0826942079485,1.90436457616408,1.0393191754514,2.43196126485399,18.3682593043543,59.8161742007618,11.6057728990248,40.0421641765656,NA,19.6513289739795,16.7510355999072,0.227321628696449,0.00475201323221539,70.6839237530221
"MD",0.681000661236576,2.08949120986913,31.1218904494918,7.3142268817528,24.4363375997947,12.3920169907017,45.4171658123278,7.60505021767609,1.950944072616,0.870653913483105,7.38344132268767,16.7448806671503,61.370559961163,3.80137174891137,12.4598923524439,NA,4.11831589137805,14.9133692411767,0.158906855804475,0.0137453520530362,51.9689048159584
"MI",0.654516461313127,2.05415443055585,31.3367475294228,50.8930125002575,31.6959002475347,16.153047118542,59.2976390167568,9.93246423774767,1.3531507718989,0.445878310100163,7.95036021129977,16.7501850030502,61.489724909836,26.3971632666726,98.5955148183066,NA,48.5188144137408,54.5313818995722,0.204028154203069,0.0148495167198249,19.5528999079371
"AZ",0.66083723350731,2.00212160378709,32.7047602185995,41.5952079539164,36.9868023438634,18.5097814944371,70.8293361344516,12.0964450190878,0.532067555369984,0.308535316227764,9.13748796542619,17.0782978907579,65.3516359591995,22.3312439346016,86.1342866419459,NA,41.7100976982484,41.326872881696,0.242185539017385,0.00390178653738015,23.4120016471204
"GA",0.646264201170945,1.85447898013891,34.5090815309374,38.5498506946031,30.6662559398087,15.5340815079284,55.9010773801631,10.5826432647545,1.19625300096127,0.230670662612481,6.16538844518816,18.9310184359879,68.1253234016654,20.6962402002547,45.41124943062,NA,38.4960663404063,38.6611661397086,0.196252894887959,0.00588655081369556,79.8919763345267
"OH",0.635375945639617,1.80237654886772,34.8021159566821,40.8284593605702,27.087495964453,13.9096847304927,45.7751157048916,9.4270217553105,1.35789554231845,0.370844351313595,2.4229670906868,20.5942062846673,67.7730799652466,26.298376627419,62.7067836861106,NA,40.8284712688038,40.8284223897861,0.169910429374374,0.00177943554251397,59.2920739814765
"IL",0.649695038739533,1.82291421626993,35.2024601559146,49.2062975066898,30.9716026046058,15.681225861507,58.0989395362414,10.9027660665346,1.19408375040252,0.371361960555596,7.70727365306884,18.7658607085824,69.5275111960332,25.4943753425195,95.7092427959047,NA,45.4539013968746,55.1693632433115,0.198748072593513,0.00652629168293965,25.5982912075417
"IN",0.650447774620965,1.83139347260171,35.2502050132296,81.7028383392205,31.3383093477164,15.8867038662272,59.3737173464283,11.0468182927501,0.890515277304006,0.274636332489108,7.85250321134189,18.6055695793733,69.5349921907594,42.2532411680946,98.9999999999255,NA,83.0039523501406,78.7723922957479,0.202310709143597,0.00402541866210829,28.7397895903376
"WV",0.636019938103129,1.74905603055423,35.7107000808105,55.9691253670664,25.2015568216272,13.0473027368741,42.8015905082554,8.99965237226634,0.848725452518744,0.396395650904576,1.95972071061358,21.0264437965933,68.9771100875252,32.3015746097967,68.9080922214337,NA,51.2972710747334,57.0046291400271,0.157408962546041,0,73.9413268349953
"RI",0.643268640488486,1.7845963240479,35.718057000095,46.0853550072956,40.1029997390207,21.5279014973025,69.8005725015418,14.3240123055314,0.848543678395631,0.355521470519087,4.25121978907854,20.5213392844521,66.5369650977183,23.1406658007687,48.631861953329,NA,42.103625103916,53.8163440431709,0.255625797060681,0.0034926715255706,55.4452802566657
"CA",0.623214663890033,1.66914477146279,36.9101435066877,22.1274680255745,25.9817695296536,13.1738035834224,48.9701259904696,9.58990841897202,1.89322344198084,0.565659385720684,8.20542154258276,19.5831810210952,72.7952892135096,11.6527706934764,44.5902007182292,NA,22.0674621902265,22.2808186736686,0.160069454963341,0.00331036803472181,43.3813617560673
"NV",0.658697542178254,1.72541606434634,37.6256767287867,39.8237873476691,27.9350891508811,14.011137169071,50.4613477462778,10.5107663378089,0.651553407773791,0.113993717282054,4.28986536091532,20.8293412824753,75.0172253042451,21.9299336084468,70.8121422066763,NA,39.8237669239952,39.8238189753544,0.181354450878462,0.00396083834714865,31.8276636401344
"TX",0.670891899065071,1.74401969365797,37.9277696008005,30.7908616558536,26.853716145553,13.6409306081683,48.5077299694474,10.1850155889383,0.136973379937637,0.0925080584265855,3.30684510050399,20.9966856733006,74.665108133014,16.9885426690075,55.6354267231331,NA,29.7877282794771,32.7984931288697,0.177628677673218,0.00419025033245239,59.3001081110033
"AR",0.661791426615158,1.70850532150191,38.3564945710745,38.7494542893671,29.4897601165726,15.1476300661979,51.1174837288068,11.3112382381361,0.172433239033105,0.167027603610005,1.64713614476456,22.1279245632385,74.6733197781031,19.6139545149045,66.6112165786798,NA,38.7494808154408,38.749400538503,0.193253107226314,0.00294916435924931,44.5750808736375
"VA",0.656476698081964,1.65429854069933,38.8249665216239,19.0179813249682,20.3805025498776,10.4254889604096,34.46765692376,7.9127232919287,0.574453369867695,0.293084014049075,1.16148395862785,22.9569515253998,75.8978626515933,11.2108863375176,35.899954769259,NA,17.2038036250164,28.316573303745,0.130900065947952,0.00447541619906183,76.0386708807389
"SD",0.633663726149886,1.61885278909811,38.8796178286309,36.6574284044481,36.098637652656,18.3203283696076,60.8527847184387,14.0350123606949,1.72707171423777,0.546479875214784,2.91429309781649,23.0638785482601,76.6089563327817,10.8874827825527,38.7900043382428,NA,36.654773484772,36.6034028434749,0.227206189051375,0.00486062991502941,90.443470027017
"IA",0.648862874657401,1.63039673435977,39.3281347084373,29.3283074589084,29.9301230790643,15.5480461759028,50.4409779776617,11.7709591229355,0.88215360254646,0.243615986594602,1.48480230734008,23.3361040861427,75.7069987428952,17.4293487009978,52.3815750248393,NA,26.2346756328665,31.393062772094,0.191913333143163,0.00304272171457369,102.531570403742
"KS",0.65310115165892,1.61005419701837,39.9741988940557,25.6095561042862,27.0769412853343,14.1453945253465,45.7901593998155,10.8237903638262,0.658290380857312,0.243339145620401,1.24094103939791,23.6378088779264,76.5181228733603,16.3987645580732,51.2940425033365,NA,26.7176999743688,26.5701520620782,0.174268891029254,0.00322656603441991,121.042408772878
"FL",0.645473965315771,1.58452752434702,40.1142923189547,54.6689495013151,26.9372606839419,13.7113271669714,51.1689871093612,10.8056914934753,1.30193428673353,0.342662457944809,7.78724510268475,21.1176575967408,78.8085016270685,28.5423709872864,99,NA,54.209592703074,55.4402232332711,0.171219155910141,0.0070119119160459,24.8332507431035
"SC",0.669464246962342,1.64089213815057,40.1880841256222,37.0991940494995,28.6632871821727,14.9983329706801,49.5192224316738,11.5192259659402,0.208895611301943,0.152089716974653,1.37087617106097,23.262130139128,76.8033753381718,26.1523882077746,58.2030799591681,NA,32.4947027908544,36.604677222085,0.189018073250913,0.00411753303834705,53.8323842812025
"MO",0.670438800636093,1.5661722624559,41.537038071924,17.1982858124154,23.7836903996197,12.5153934550316,42.4249755274797,9.87904053619855,0.548503866175263,0.365087289170413,3.19626857256885,23.2859074480777,78.9351175549888,11.4598104576438,34.051230447551,NA,14.2979929400515,18.1061464318489,0.154722792674717,0.00567012761697571,61.8192108886228
"OK",0.692376228603013,1.61028497472266,41.8191523365754,8.30854579814418,27.3619008399079,15.5716714579218,46.583188696063,11.4425149944238,0.869151867540088,0.400489241115856,1.80529362570946,24.5636147174932,73.4828950465854,4.39573673604579,16.7429786538319,NA,7.41162695945036,10.1733955099104,0.184257099685593,0.012711743401708,101.699579893625
"HI",0.594619435942755,1.37946256138608,41.9037272614511,56.2421329549668,6.10918727373643,3.53052063730335,10.0333106064983,2.55997717307779,0.65224848278157,0.322207201546357,1.03824318333855,25.514780449633,72.5099053671905,36.9628023013256,75.4053250767762,NA,51.2849505512734,56.8112557522316,0.035313926682638,0.00120067350720969,128.096285140752
"DE",0.651547535197034,1.52635980187648,42.1395610689762,75.0326740171038,26.5197234076434,14.9487036426256,44.608121526322,11.1752950406875,0.215666446260916,0.215666446260916,0.88699206912095,25.0521534158152,74.7576198435132,44.6549944597896,80.0360874893395,NA,70.6974435525721,80.8918275190499,0.170575211242149,0.00359430005627647,50.3616685393233
"KY",0.676056645535611,1.47989744149255,44.8727922294703,46.2815497012453,22.8592350358952,12.1045352615597,43.2464658420444,10.2575770429035,0.139017270807366,0.04429836213772,4.85369481333518,23.7188793192231,84.7416015671292,24.2664421532279,66.7507368465666,NA,46.2949114549919,46.2531245732501,0.151801620217057,0.00593149946291951,69.5937963070818
"ND",0.636480404299661,1.40355664710966,44.919148969024,55.8262880788669,32.1154605932862,17.6811151329274,55.9254374836234,14.4259915859864,1.2527304573998,0.282293514906538,4.1245307803597,25.7950446792853,81.5898289080255,42.1099206018063,57.8384878274009,NA,50.9987813445887,58.8141071995304,0.202476963816592,0.00236201253966213,91.5447212747989
